nomclient,venteestimesupport2021,venteestimesupport2022,venteestimesupport2023,ventehorssupport2021,ventehorssupport2022,ventehorssupport2023,ventehorssupport202,dealconclusupport,VenteConclusupport2021,VenteConclusupport2022,VenteConclusupport2023,Upsale,Crossale,Nombre_Employe,OpenDeals,Secteur_Activite,DealConclu2021,DealConclu2022,DealConclu2023,Moved,Technologie,Support2023,annéedernierContact,moisdernierContact,annéeCreation,moisCreation,Support02021,nbredealsupport02021,Support02022,nbredealsupport02022,Support02023,nbredealsupport02023,Support12021,nbredealsupport12021,Support12022,nbredealsupport12022,Support12023,nbredealsupport12023,Support22021,nbredealsupport22021,Support22022,nbredealsupport22022,Support22023,nbredealsupport22023,Support32021,nbredealsupport32021,Support32022,nbredealsupport32022,Support32023,nbredealsupport32023,predicted,predictedsupport1,predictedsupport2,predictedUpsale
ASSURANCES GAT,27718.12,357493.53,223500.0,380538.95,765871.8300000001,649032.12,0.0,0.3018867924528302,0.0,67070.53,43500.0,1,1,380,53,65,4.0,8.0,4.0,1.0,228670004.0,1,2023.0,12.0,2021,7,1,4,1,6,1,2,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ASSURANCES MAGHREBIA,0.0,3500.0,60000.0,0.0,0.0,64560.0,0.0,0.25,0.0,3500.0,0.0,0,1,498,4,65,0.0,1.0,0.0,0.0,228670004.0,0,2023.0,3.0,2022,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASTEEL FLASH,0.0,0.0,0.0,48630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5000,1,59,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,11.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTRE ASSURANCES,0.0,0.0,0.0,100000.0,96740.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,206,2,65,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,11.0,2021,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATB,61984.0,29100.0,17100.0,604364.46,296396.44,245653.19,0.0,0.1333333333333333,61984.0,9900.0,0.0,1,1,1000,15,65,1.0,1.0,0.0,1.0,228670012.0,0,2023.0,9.0,2021,7,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ATD SICAR,5100.0,10300.6,2450.0,4946.96,41033.22,33782.81999999999,0.0,0.28,5100.0,5200.6,2450.0,1,1,1000,25,65,3.0,3.0,1.0,1.0,228670012.0,1,2023.0,3.0,2021,7,1,2,1,1,0,0,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ATI,0.0,583106.88,0.0,0.0,950692.32,0.0,0.0,0.0,0.0,0.0,0.0,1,1,50,6,55,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,12.0,2021,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ATL,11155.0,31003.44,18879.03,100760.5,207200.23,244512.64,0.0,0.024390243902439,11155.0,22708.54,9491.53,1,1,100,41,65,0.0,0.0,1.0,0.0,228670012.0,1,2023.0,12.0,2021,7,0,0,1,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ATLAS CLOUD SERVICES,0.0,0.0,0.0,0.0,8820.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,21,1,55,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,6.0,2022,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATTIJARI BANK,13931.2,3004609.2,2091863.3,30681.6,2054981.7,3538592.79,0.0,0.088235294117647,13931.2,21890.0,30465.0,1,1,3000,34,65,0.0,0.0,3.0,1.0,228670004.0,1,2023.0,6.0,2021,7,0,0,1,1,1,2,0,0,1,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1
AXELITES,0.0,0.0,0.0,0.0,0.0,2478.15,0.0,0.0,0.0,0.0,0.0,0,0,27,1,55,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advancia SPG GROUP,0.0,0.0,0.0,0.0,1790.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,1,55,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,4.0,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advancia Training,0.0,7100.0,7300.0,0.0,0.0,0.0,0.0,1.0,0.0,7100.0,7300.0,0,0,50,3,16,0.0,1.0,2.0,0.0,228670006.0,1,2023.0,3.0,2022,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,0
Agence Foncière Touristique,0.0,0.0,0.0,0.0,0.0,36180.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,11,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agence Nationale de Certification Electronique,390.0,1560.0,630.0,0.0,0.0,14151.0,0.0,0.5714285714285714,390.0,1560.0,630.0,1,1,70,7,55,1.0,2.0,1.0,1.0,228670004.0,1,2023.0,6.0,2022,1,0,0,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Agence Tunisienne d'Internet,0.0,0.0,0.0,15729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,2,74,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,11.0,2021,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirLiquide,0.0,76800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,74,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,3.0,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Buhaira,11789.75,70005.84,29480.73,6400.0,41644.12,74188.76,0.0,0.7391304347826086,3454.85,67286.51,20729.08,1,1,100,23,74,2.0,13.0,2.0,1.0,228670012.0,1,2023.0,3.0,2021,9,0,0,1,7,0,0,1,2,1,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Alubaf Banque,0.0,4300.0,0.0,0.0,29490.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,100,3,65,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,6.0,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amena Takaful,0.0,0.0,285547.04,0.0,50490.0,856641.1199999999,0.0,0.0,0.0,0.0,0.0,0,1,100,5,65,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,6.0,2022,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ameninvest,0.0,0.0,0.0,1821.0,221.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,20,3,65,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,11.0,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ameur Plastics,0.0,4300.0,0.0,0.0,14000.0,120000.0,0.0,0.0,0.0,0.0,0.0,0,1,50,5,59,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,6.0,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amilcar LLD,0.0,9800.0,0.0,3500.0,30540.0,0.0,0.0,0.2,0.0,1800.0,0.0,1,1,20,5,65,0.0,1.0,0.0,0.0,228670004.0,0,2022.0,6.0,2021,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amilcar Petroleum operations,9600.0,20700.0,0.0,130412.8,495086.72,136618.65,0.0,0.2666666666666666,9600.0,20700.0,0.0,0,1,143,15,17,0.0,4.0,0.0,0.0,228670004.0,0,2023.0,4.0,2021,7,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anis Ben Hjel,0.0,1743.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1743.0,0.0,0,0,5,1,74,0.0,1.0,0.0,0.0,228670006.0,0,2022.0,9.0,2022,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Assurance CTAMA,0.0,43844.4,0.0,0.0,131533.2,0.0,0.0,0.0,0.0,0.0,0.0,0,1,200,4,65,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,6.0,2022,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assurances Star,0.0,10000.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0,1,1000,2,65,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,2.0,2022,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assuria,0.0,0.0,10685.18,0.0,0.0,10685.18,0.0,0.0,0.0,0.0,0.0,0,1,50,1,65,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BANQUE ZITOUNA,1808632.33,324440.0,53450.0,6522772.440000001,6325559.65,4519913.48,896275.57,0.4047619047619047,74200.0,146700.0,13450.0,1,1,1076,84,65,8.0,23.0,3.0,1.0,228670012.0,1,2024.0,12.0,2021,7,1,1,0,0,1,1,1,7,1,23,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
BEIN SPORT,6000.0,45000.0,41500.0,8971.0,21609.0,0.0,0.0,0.4,6000.0,4000.0,0.0,0,1,100,10,8,3.0,1.0,0.0,0.0,228670012.0,0,2023.0,3.0,2021,7,0,0,0,0,0,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEST LEASE,9442.35,52019.80000000001,4526.87,15177.0,201798.0,67660.0,0.0,0.25,9442.35,14957.04,4526.87,1,1,100,28,65,1.0,5.0,1.0,1.0,228670012.0,1,2023.0,9.0,2021,7,0,0,0,0,0,0,1,2,1,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1
BFI,0.0,0.0,0.0,0.0,2000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0,0,200,2,55,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,5.0,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH Bank,54000.0,151785.0,2091631.25,3982465.63,7782757.199999999,4518272.0,0.0,0.1212121212121212,48000.0,18675.0,12956.25,1,1,1500,33,65,1.0,1.0,2.0,1.0,228670012.0,1,2023.0,11.0,2021,7,1,1,1,1,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BIAT,65420.0,168572.2,1799000.0,0.0,0.0,2065000.0,3186480.0,0.2083333333333333,65420.0,49865.0,0.0,1,1,2929,24,65,3.0,2.0,0.0,0.0,228670004.0,0,2024.0,1.0,2021,7,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BIAT Assurance,0.0,68010.2,136088.26,0.0,258748.13,218662.73,0.0,0.0833333333333333,0.0,6000.0,0.0,1,1,100,12,65,0.0,1.0,0.0,0.0,228670004.0,0,2023.0,6.0,2022,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BMCE Capital Tunisie,7146.0,24714.58,38273.85,89696.0,100097.2,98814.5,0.0,0.1739130434782608,7146.0,15149.72,8029.35,1,1,50,23,65,0.0,3.0,1.0,0.0,228670012.0,1,2023.0,3.0,2021,9,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BNA,10500.0,90805.0,206310.0,0.0,100800.0,1500000.0,0.0,0.36,10500.0,45430.0,46410.0,1,1,5001,25,65,1.0,5.0,3.0,1.0,228670012.0,1,2023.0,12.0,2021,9,1,1,1,1,0,0,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BNA Capitaux,18060.0,0.0,0.0,99967.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,100,3,65,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,6.0,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSB-SA,2619.0,10475.92,2775.6,22166.6,27072.45,10633.2,0.0,0.2142857142857142,2619.0,10474.72,2775.6,0,0,200,28,4,1.0,3.0,2.0,0.0,228670012.0,1,2023.0,3.0,2021,7,0,0,0,0,0,0,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BT,0.0,0.0,150000.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,1,1,3000,4,65,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,6.0,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BTE,55807.13,18887.04,102720.0,143747.42,152843.98,255563.98,152843.98,0.25,55807.130000000005,12591.36,0.0,1,1,207,12,65,1.0,2.0,0.0,0.0,228670012.0,0,2024.0,12.0,2021,7,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BTK,208936.0,0.0,0.0,480942.0,300500.0,385000.0,0.0,0.0909090909090909,13200.0,0.0,0.0,0,1,500,11,65,1.0,0.0,0.0,0.0,228670012.0,0,2023.0,11.0,2021,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTL,0.0,0.0,0.0,106265.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,240,1,65,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,12.0,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backend,0.0,0.0,0.0,0.0,0.0,3288.0,0.0,0.0,0.0,0.0,0.0,0,0,25,1,74,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banking Intelligence,0.0,0.0,0.0,0.0,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,74,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,5.0,2022,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banque Centrale de Tunisie,20650.0,20537.86,141080.0,1776394.58,1793293.5,980180.0,0.0,0.0,21000.0,20537.86,11000.0,1,1,1073,76,65,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,5.0,2021,7,1,2,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Banque Maghrébine d'investissement et de Commerce Extérieur,0.0,0.0,0.0,0.0,26874.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,200,2,65,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,3.0,2021,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banque Tunisie,0.0,0.0,0.0,0.0,123808.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3000,1,65,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,4.0,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banque africaine de développement,0.0,0.0,0.0,0.0,461760.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3100,1,65,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,3.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biosca Tamara,0.0,0.0,0.0,0.0,0.0,24000.0,0.0,0.0,0.0,0.0,0.0,0,0,200,1,59,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2022,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biosphère,0.0,0.0,0.0,0.0,7850.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,1,59,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,6.0,2021,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouchamaoui Industries,0.0,0.0,0.0,0.0,58345.58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,500,3,17,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,12.0,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boudrant,0.0,28000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,76,1,59,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,11.0,2022,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAP BON Consulting SARL,0.0,350.0,0.0,29520.0,40620.0,0.0,0.0,0.2,0.0,350.0,0.0,0,1,50,5,65,0.0,1.0,0.0,0.0,228670004.0,0,2022.0,10.0,2021,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPBANK,0.0,0.0,74060.0,0.0,0.0,74060.0,0.0,0.0,0.0,0.0,0.0,0,1,50,2,65,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,5.0,2022,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARTHAGE CEMENT,59543.84,167689.38,698009.79,114296.51,364385.36,847441.2100000001,0.0,0.1463414634146341,59543.84,29433.09,11826.25,1,1,500,41,59,2.0,3.0,1.0,1.0,228670012.0,1,2023.0,11.0,2021,7,0,0,1,1,1,1,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
CAWTAR,300.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,300.0,0.0,0.0,0,0,50,1,4,1.0,0.0,0.0,0.0,228670004.0,0,2021.0,11.0,2022,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDN,2231.25,0.0,29500.0,2251.6,83779.0,29500.0,0.0,0.1666666666666666,2231.25,0.0,0.0,1,1,200,6,55,1.0,0.0,0.0,0.0,228670012.0,0,2023.0,6.0,2021,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CENAFIF,0.0,0.0,0.0,0.0,0.0,737382.9099999999,0.0,0.0,0.0,0.0,0.0,0,0,74,2,11,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,4.0,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEPEX,0.0,0.0,0.0,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,200,1,55,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,5.0,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHAKIRA CABLE,0.0,0.0,0.0,0.0,0.0,24261.0,0.0,0.0,0.0,0.0,0.0,0,0,500,1,59,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHO,0.0,0.0,6000.0,139112.0,0.0,38540.0,0.0,0.0,0.0,0.0,0.0,0,1,1000,5,59,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,2.0,2021,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITET,0.0,0.0,0.0,13860.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,74,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,12.0,2021,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM Consulting,0.0,0.0,24983.5,0.0,0.0,41783.5,0.0,0.0,0.0,0.0,0.0,0,1,50,3,74,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,4.0,2023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNI,0.0,7735.0,0.0,8800.0,0.0,0.0,0.0,0.5,0.0,7735.0,0.0,1,0,181,2,11,0.0,1.0,0.0,0.0,228670006.0,0,2022.0,12.0,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
CNRPS,0.0,0.0,0.0,0.0,57060.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1000,1,11,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,11.0,2022,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CODIS,0.0,0.0,10000.0,0.0,20844.5,10436.0,0.0,0.0,0.0,0.0,0.0,0,1,50,7,20,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2022,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFIB CAPITAL FINANCES,0.0,9750.0,49550.0,0.0,15771.0,15771.0,0.0,0.25,0.0,9750.0,0.0,1,1,50,8,65,0.0,2.0,0.0,1.0,228670012.0,0,2023.0,11.0,2022,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
COFICAB  TUNISIE,0.0,105100.0,43800.0,229228.01,167724.07,353624.82,0.0,0.1111111111111111,0.0,7000.0,0.0,1,0,1645,27,20,0.0,3.0,0.0,1.0,228670004.0,0,2023.0,12.0,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
COGEMAT,0.0,0.0,0.0,1556.0,1772.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,250,2,20,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,9.0,2021,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMAR,0.0,0.0,0.0,0.0,0.0,135000.0,0.0,0.0,0.0,0.0,0.0,0,0,451,3,65,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,12.0,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMETE ENGINEERING,1800.0,0.0,0.0,0.0,2440.0,0.0,0.0,0.6666666666666666,1800.0,0.0,0.0,0,1,100,3,74,2.0,0.0,0.0,1.0,228670012.0,0,2022.0,6.0,2021,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMPAGNIE AFRICAINE DES PEINTURES,0.0,0.0,0.0,3980.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,74,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,6.0,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMVIVA,0.0,0.0,0.0,980000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2900,1,55,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,6.0,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COTUNACE,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,2,55,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,3.0,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPG,0.0,11600.0,49404.0,28000.0,0.0,49404.0,0.0,0.0,0.0,0.0,0.0,1,1,5000,6,59,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2021,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CRAYON France,28263.75,66093.45999999999,0.0,0.0,0.0,0.0,0.0,1.0,28263.75,8980.15,0.0,1,0,3700,9,55,3.0,6.0,0.0,1.0,228670005.0,0,2022.0,10.0,2021,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,6,0,0,0,0,1,1
CRES,0.0,3150.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3150.0,0.0,0,0,10000,1,4,0.0,1.0,0.0,0.0,228670012.0,0,2022.0,7.0,2022,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRYSTAL INDUSTRIES,24862.0,7560.0,0.0,44950.29,800.0,0.0,0.0,0.1111111111111111,0.0,7560.0,0.0,1,1,200,9,59,0.0,1.0,0.0,0.0,228670012.0,0,2022.0,4.0,2021,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTK AUDIT,0.0,0.0,0.0,399.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,74,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,12.0,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cafe Bondin,0.0,0.0,0.0,0.0,65500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,250,2,20,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,12.0,2022,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caisse des Dépots et Consignations,0.0,56992.0,478975.46,2968.0,58592.0,264487.73,0.0,0.1111111111111111,0.0,1200.0,0.0,1,1,200,9,65,0.0,1.0,0.0,0.0,228670004.0,0,2023.0,9.0,2021,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carrelages Choisis,0.0,0.0,0.0,2686.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,150,1,15,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,12.0,2021,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
